"INSTNM","CITY","state","degree_offered","CONTROL","region","ADM_RATE","SATVRMID","SATMTMID","num_undergrad","prop_arts_human","prop_business","prop_health_med","prop_interdiscip","prop_public_svce","prop_sci_math_tech","prop_social_sci","prop_trades_personal_svce"
"Roberto-Venn School of Luthiery","Phoenix","AZ","1","2","6",NA,NA,NA,39,0,0,0,0,0,0,0,1
"Hair Academy of Safford","Safford","AZ","1","2","6",NA,NA,NA,64,0,0,0,0,0,0,0,1
"Scottsdale Community College","Scottsdale","AZ","2","1","6",NA,NA,NA,7687,0.3172,0.1501,0.0923,0.2728,0.0335,0.0835,0.0072,0.0433
"South Mountain Community College","Phoenix","AZ","2","1","6",NA,NA,NA,3980,0.2981,0.0839,0.0021,0.4907,0,0.0953,0.03,0
"Arizona Christian University","Phoenix","AZ","3","2","6",0.6076,510,528,491,0.0238,0.1905,0,0,0.3333,0.0119,0.4405,0
"Tucson College","Tucson","AZ","1","2","6",NA,NA,NA,284,0,0.0319,0.6383,0,0,0,0,0.3298
"Universal Technical Institute of Arizona Inc","Avondale","AZ","2","2","6",NA,NA,NA,2337,0,0,0,0,0,0,0,1
"Western International University","Tempe","AZ","3","2","6",NA,NA,NA,1369,0,0.7575,0,0.1347,0.0389,0.0509,0.018,0
"Empire Beauty School-NW Phoenix","Glendale","AZ","1","2","6",NA,NA,NA,172,0,0,0,0,0,0,0,1
"Yavapai College","Prescott","AZ","1","1","6",NA,NA,NA,6072,0.0332,0.0657,0.2966,0.3608,0.0777,0.0657,0.0196,0.0808
"University of Arkansas at Little Rock","Little Rock","AR","3","1","5",0.5274,420,445,8504,0.1164,0.1536,0.2033,0.1065,0.1013,0.1452,0.1738,0
"University of Arkansas for Medical Sciences","Little Rock","AR","3","1","5",NA,NA,NA,755,0,0,1,0,0,0,0,0
"ABC Beauty College Inc","Arkadelphia","AR","1","2","5",NA,NA,NA,32,0,0,0,0,0,0,0,1
"Arkansas Baptist College","Little Rock","AR","3","2","5",NA,NA,NA,1022,0.057,0.1951,0,0.439,0.3089,0,0,0
"Arkansas Beauty School","Little Rock","AR","1","2","5",NA,NA,NA,37,0,0,0,0,0,0,0,1
"Arkansas Beauty College","Russellville","AR","1","2","5",NA,NA,NA,46,0,0,0,0,0,0,0,1
"Lyon College","Batesville","AR","3","2","5",0.5898,535,575,570,0.2083,0.1083,0,0.0083,0,0.3166,0.3583,0
"Arkansas College of Barbering and Hair Design","North Little Rock","AR","1","2","5",NA,NA,NA,134,0,0,0,0,0,0,0,1
"Arthur's Beauty College Inc-Fort Smith","Fort Smith","AR","1","2","5",NA,NA,NA,50,0,0,0,0,0,0,0,1
"University of Arkansas","Fayetteville","AR","3","1","5",0.5858,550,575,20776,0.0748,0.2193,0.0654,0.1154,0.0364,0.2561,0.2328,0
"University of Arkansas at Pine Bluff","Pine Bluff","AR","3","1","5",0.277,380,421,2503,0.0432,0.1345,0.0102,0.2309,0.1675,0.2715,0.1422,0
"Arkansas State University-Beebe","Beebe","AR","1","1","5",NA,NA,NA,3217,0.0069,0.0509,0.1814,0.3512,0.0625,0.066,0.0261,0.255
"Arkansas State University-Main Campus","Jonesboro","AR","3","1","5",0.7551,463,503,9325,0.0389,0.1088,0.178,0.2654,0.0201,0.1347,0.2543,0
"Arkansas Tech University","Russellville","AR","3","1","5",0.8503,430,465,8734,0.0274,0.1084,0.2783,0.1581,0.0559,0.1076,0.1868,0.0776
"University of Arkansas at Monticello","Monticello","AR","1","1","5",NA,NA,NA,3024,0.0388,0.1419,0.2284,0.2323,0.0335,0.124,0.0826,0.1187
"Arthur's Beauty College Inc-Jacksonville","Jacksonville","AR","1","2","5",NA,NA,NA,64,0,0,0,0,0,0,0,1
"Baptist Health Schools-Little Rock","Little Rock","AR","1","2","5",0.8615,NA,NA,918,0,0,1,0,0,0,0,0
"Black River Technical College","Pocahontas","AR","1","1","5",NA,NA,NA,1894,0,0.0638,0.4551,0.1927,0.1507,0,0.0043,0.1333
"University of Central Arkansas","Conway","AR","3","1","5",0.8997,NA,NA,9261,0.142,0.1788,0.222,0.0856,0.0014,0.096,0.2742,0
"Central Baptist College","Conway","AR","3","2","5",0.5407,510,570,769,0.0077,0.3692,0.0462,0.2154,0.2615,0.0154,0.0846,0
"Cossatot Community College of the University of Arkansas","De Queen","AR","1","1","5",NA,NA,NA,1129,0,0.0277,0.3723,0.2677,0,0.0092,0.0493,0.2739
"Crowley's Ridge College","Paragould","AR","2","2","5",NA,NA,NA,153,0.1923,0.2308,0,0.5769,0,0,0,0
